"iso","model","rcp","ssp","rawtotal","flextotal","f2mort","f2total","meantas","impact_source","case_gamma","case_population","case_batch_collapsed"
"KHM","IIASA GDP","rcp45","SSP4",17.6009091239834,12.2006753813991,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"CHE","IIASA GDP","rcp45","SSP4",-13.0927240371425,-24.3200954558416,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"CHE","IIASA GDP","rcp45","SSP4",-13.0927240371425,-23.0528600895455,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"CHE","IIASA GDP","rcp45","SSP4",-13.0927240371425,-15.5186380501389,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"CHE","IIASA GDP","rcp45","SSP4",-13.0927240371425,7.25715611131275,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"CHE","IIASA GDP","rcp45","SSP4",-13.0927240371425,-24.3850828332924,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"ETH","IIASA GDP","rcp45","SSP4",-26.1985622520397,-25.2464588288825,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"ETH","IIASA GDP","rcp45","SSP4",-26.1985622520397,-28.1733527375967,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"ETH","IIASA GDP","rcp45","SSP4",-26.1985622520397,-33.5382044847033,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"ETH","IIASA GDP","rcp45","SSP4",-26.1985622520397,-38.9422943014439,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"ETH","IIASA GDP","rcp45","SSP4",-26.1985622520397,-24.8260348342958,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"ABW","IIASA GDP","rcp45","SSP4",-2.98550605063997,-3.47535450107974,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"ABW","IIASA GDP","rcp45","SSP4",-2.98550605063997,-2.74802751621564,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"ABW","IIASA GDP","rcp45","SSP4",-2.98550605063997,0.0264132524530402,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"ABW","IIASA GDP","rcp45","SSP4",-2.98550605063997,7.02114434203426,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"ABW","IIASA GDP","rcp45","SSP4",-2.98550605063997,-3.5474600494362,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"SWZ","IIASA GDP","rcp45","SSP4",-9.50720476540261,-11.837060202894,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"SWZ","IIASA GDP","rcp45","SSP4",-9.50720476540261,-13.2655912582977,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"SWZ","IIASA GDP","rcp45","SSP4",-9.50720476540261,-15.9557191571816,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"SWZ","IIASA GDP","rcp45","SSP4",-9.50720476540261,-18.874464013363,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"SWZ","IIASA GDP","rcp45","SSP4",-9.50720476540261,-11.6334738745628,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"ARG","IIASA GDP","rcp45","SSP4",-1.51256237477982,1.03669194695806,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
